rank,team_name,abbreviation,games_played,avg_adjusted_score,rank_vs_lhp,avg_adj_vs_lhp,games_vs_lhp,rank_vs_rhp,avg_adj_vs_rhp,games_vs_rhp,rank_home,avg_adj_home,games_home,rank_away,avg_adj_away,games_away,avg_game_score,avg_runs,total_runs,total_hits,total_walks,total_strikeouts
1,Milwaukee Brewers,MIL,162,10.08018541593419,3,10.196178486449535,47,1,10.032779552332267,115,12,9.16679980582554,81,1,10.43941399760637,81,9.850617283950626,4.9753086419753085,806,1423,564,1266
2,New York Yankees,NYY,161,10.002543042647034,1,10.52341844022207,35,4,9.857855432209524,126,5,9.803896281984468,80,2,10.25021620915154,81,10.017391304347829,5.267080745341615,848,1369,634,1454
3,Seattle Mariners,SEA,162,9.61460754099652,10,8.83104599190472,47,2,9.934845739320993,115,24,8.04609762528864,81,3,10.127651117521005,81,8.998765432098768,4.728395061728395,766,1345,544,1446
4,Toronto Blue Jays,TOR,161,9.595712064380262,2,10.323846447816578,40,7,9.355006483079,121,1,10.542444169039607,81,7,9.32296308751647,80,9.95931677018634,4.919254658385094,792,1449,516,1097
5,Chicago Cubs,CHC,162,9.583829496812555,14,8.667746776353814,42,3,9.904458448973115,120,7,9.496101376543763,81,4,9.62788713970891,81,9.549691358024686,4.895061728395062,793,1371,554,1277
6,Boston Red Sox,BOS,163,9.266045784948258,4,9.720573136327285,45,12,9.09270908315117,118,8,9.36729256015226,82,8,9.135574065240057,81,9.256134969325156,4.852760736196319,791,1422,520,1429
7,San Diego Padres,SD,162,9.24242895400663,8,8.868718007631056,49,6,9.404480603319932,113,11,9.234928511911091,81,21,8.31456200640042,81,8.970679012345682,4.333333333333333,702,1369,510,1161
8,Kansas City Royals,KC,162,9.142316083125765,22,7.926969796527351,33,5,9.453218621557918,129,26,7.92489462161075,81,12,8.769632672874742,81,8.348765432098768,4.018518518518518,651,1342,435,1096
9,Los Angeles Dodgers,LAD,162,9.134818054466024,5,9.032158112598179,47,9,9.176774726359838,115,2,10.222448782259823,81,9,8.981676537188966,81,9.78240740740741,5.092592592592593,825,1384,580,1353
10,Texas Rangers,TEX,162,9.073260636506305,7,8.919317994356382,41,11,9.12542301938355,121,29,7.659987089887517,81,15,8.539835923936579,81,8.209567901234566,4.222222222222222,684,1275,486,1327
11,Miami Marlins,MIA,162,8.986345855323092,9,8.84018275782606,47,13,9.0460820777784,115,22,8.140903565169133,81,6,9.462722449499896,81,8.818827160493834,4.3765432098765435,709,1388,482,1247
12,Philadelphia Phillies,PHI,162,8.973987093548873,20,8.256708741399473,48,8,9.275999031295989,114,3,10.084174964230604,81,17,8.457984229680312,81,9.421913580246914,4.802469135802469,778,1426,528,1337
13,New York Mets,NYM,162,8.962404215754134,11,8.784030981864046,47,14,9.035304580909214,115,6,9.612156183837842,81,13,8.747797507716102,81,9.310802469135808,4.728395061728395,766,1359,563,1325
